fecha,codigo_agente,nombre_agente,segmento,estrategia,cluster,demanda_gwh_dia,pct_no_regulado,pct_cobertura_contratos,pct_exposicion_bolsa,pct_sicep,compra_regulado_1_0,margen_est_cop_kwh,costo_energia_est_cop_kwh
2026-01-01,ASCC,A.S.C. INGENIERIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.076,41.22,100.0,0.0,0.0,1.0,-42.08,308.8
2026-01-01,BCCC,BCCY CORDOBA S.A.S. E.S.P.,PEQUEÑO,Trader no regulado,0,0.0001,100.0,89178.19,100.0,0.0,0.0,-500,308.8
2026-01-01,BEIC,BEAM ENERGY INNOVATION S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0229,71.04,439.74,0.0,0.0,0.0,-500,308.8
2026-01-01,BIAC,BIA ENERGY S.A.S. E.S.P,MEDIANO,Comercializador regulado,2,0.7907,42.15,140.43,0.35,100.0,1.0,-199.0,308.8
2026-01-01,CASC,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,MEDIANO,Comercializador regulado,2,1.4729,0.16,86.82,13.81,93.3,1.0,-41.98,306.4
2026-01-01,CBNC,COLOMBINA ENERGIA SAS ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0397,100.0,252.62,0.0,0.0,0.0,-500,308.8
2026-01-01,CDNC,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.0784,5.29,150.09,5.11,93.86,1.0,-253.64,308.3
2026-01-01,CEOC,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,MEDIANO,Comercializador regulado,2,1.8386,5.05,109.74,1.29,92.11,1.0,-84.31,308.6
2026-01-01,CETC,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.4899,17.19,100.0,0.0,90.83,1.0,-42.08,308.8
2026-01-01,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,MEDIANO,Comercializador regulado,2,2.5815,0.0,92.81,7.85,90.31,1.0,-43.21,307.4
2026-01-01,CHVC,AES COLOMBIA & CIA. S.C.A. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.8312,100.0,157.55,0.0,0.0,1.0,-263.62,308.8
2026-01-01,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,GRANDE,Integrado/regional regulado,1,26.3323,8.08,91.9,8.86,92.89,1.0,-43.4,307.3
2026-01-01,CMXC,CEMEX ENERGY S.A.S E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.3129,100.0,229.81,0.0,0.0,0.0,-500,308.8
2026-01-01,CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,MEDIANO,Comercializador regulado,2,4.1152,0.0,85.87,14.13,95.72,1.0,-39.51,306.3
2026-01-01,CQTC,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.7844,0.0,14.35,85.65,68.63,1.0,-26.54,293.3
2026-01-01,CSIC,AIR- E S.A.S. E.S.P. - INTERVENIDO,GRANDE,Integrado/regional regulado,1,25.0895,5.85,82.13,17.87,29.46,1.0,-38.83,305.6
2026-01-01,DLRC,DICELER S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.0066,0.0,251.39,754.24,0.0,1.0,-500,295.2
2026-01-01,DRUC,DRUMMOND POWER S.A.S. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.1391,100.0,664.37,0.0,0.0,0.0,-500,308.8
2026-01-01,EBPC,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2295,0.0,99.43,4.62,93.65,1.0,-56.83,308.0
2026-01-01,EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.4147,7.94,89.74,14.73,71.78,1.0,-56.59,306.3
2026-01-01,EDPC,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.7158,0.0,19.8,80.2,0.0,1.0,-27.52,294.3
2026-01-01,EDQC,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,MEDIANO,Comercializador regulado,2,1.2215,0.0,85.67,14.33,92.66,1.0,-39.48,306.2
2026-01-01,EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,1.9907,21.82,94.73,21.99,66.76,1.0,-102.42,305.4
2026-01-01,EGVC,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2282,0.0,120.7,0.0,95.73,1.0,-121.78,308.8
2026-01-01,EMEC,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0586,72.55,104.09,0.74,0.0,1.0,-60.53,308.7
2026-01-01,EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,MEDIANO,Integrado/regional regulado,1,7.1629,19.91,104.82,3.34,62.46,1.0,-72.88,308.3
2026-01-01,EMPC,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DE CARTAGENA DEL CHAIRA,PEQUEÑO,Comercializador regulado,2,0.0403,0.0,76.26,23.74,93.61,1.0,-37.77,304.5
2026-01-01,EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,MEDIANO,Comercializador regulado,2,3.4317,7.88,86.8,13.41,84.35,1.0,-40.46,306.4
