segmento,posicion,estrategia,cluster,dias_presente,mediana_margen_cop_kwh,media_margen_cop_kwh,dias_puesto_1,pct_dias_top3,rango_promedio,tendencia_2da_menos_1ra_mitad,es_atipico
GRANDE,1,Trader no regulado,0,174,-37.06,-43.84,113,100.0,1.41,-64.04,0
GRANDE,2,Integrado/regional regulado,1,212,-47.29,-45.36,63,100.0,1.74,-28.86,0
GRANDE,3,Trader con sobrecobertura de contratos,4,210,-133.92,-124.51,35,100.0,2.61,39.4,0
GRANDE,4,Trader expuesto a bolsa (sin cobertura),3,9,227.5,215.3,1,100.0,1.89,19.45,1
MEDIANO,1,Integrado/regional regulado,1,203,-46.66,-60.25,110,100.0,1.53,-74.79,0
MEDIANO,2,Comercializador regulado,2,212,-57.01,-81.31,0,83.5,2.79,-65.24,0
MEDIANO,3,Trader con sobrecobertura de contratos,4,206,-60.76,-58.55,79,80.1,2.34,-8.21,0
MEDIANO,4,Trader no regulado,0,208,-83.51,-99.52,14,38.0,3.36,-83.6,0
MEDIANO,5,Trader expuesto a bolsa (sin cobertura),3,13,113.21,38.83,9,92.3,1.46,28.47,1
PEQUEÑO,1,Trader expuesto a bolsa (sin cobertura),3,212,-19.19,-104.87,133,89.2,1.67,-283.09,0
PEQUEÑO,2,Comercializador regulado,2,210,-134.86,-147.09,73,97.6,1.81,-62.31,0
PEQUEÑO,3,Trader no regulado,0,210,-345.05,-331.41,2,71.9,3.03,-120.8,0
PEQUEÑO,4,Trader con sobrecobertura de contratos,4,209,-497.17,-380.17,4,41.6,3.48,-177.76,0
