estrategia,cluster,segmento,dias_presente,mediana_margen_cop_kwh,media_margen_cop_kwh
Trader no regulado,0,GRANDE,174,-37.06,-43.84
Trader no regulado,0,MEDIANO,208,-83.51,-99.52
Trader no regulado,0,PEQUEÑO,210,-345.05,-331.41
Integrado/regional regulado,1,GRANDE,212,-47.29,-45.36
Integrado/regional regulado,1,MEDIANO,203,-46.66,-60.25
Comercializador regulado,2,MEDIANO,212,-57.01,-81.31
Comercializador regulado,2,PEQUEÑO,210,-134.86,-147.09
Trader expuesto a bolsa (sin cobertura),3,GRANDE,9,227.5,215.3
Trader expuesto a bolsa (sin cobertura),3,MEDIANO,13,113.21,38.83
Trader expuesto a bolsa (sin cobertura),3,PEQUEÑO,212,-19.19,-104.87
Trader con sobrecobertura de contratos,4,GRANDE,210,-133.92,-124.51
Trader con sobrecobertura de contratos,4,MEDIANO,206,-60.76,-58.55
Trader con sobrecobertura de contratos,4,PEQUEÑO,209,-497.17,-380.17
