tipo,año,n_dias_escasez,n_dias,pct,spread_cop_kwh,n_escasez,contexto
frecuencia_bin,muy_barata,,2209,52.22,,,
frecuencia_bin,barata,,1206,28.51,,,
frecuencia_bin,neutral,,374,8.84,,,
frecuencia_bin,cara,,194,4.59,,,
frecuencia_bin,escasez,,247,5.84,,,
dias_escasez_real,,450,4230,10.64,,,
spread_p50_cop_kwh,,,,,-8.8,,
spread_p95_cop_kwh,,,,,639.5,,
spread_p99_cop_kwh,,,,,1075.5,,
spread_max_cop_kwh,,,,,2182.7,,
por_anio,2015,,365,29.9,,109,
por_anio,2016,,366,28.1,,103,
por_anio,2017,,365,0.0,,0,
por_anio,2018,,365,0.0,,0,
por_anio,2019,,365,0.0,,0,
por_anio,2020,,366,10.7,,39,
por_anio,2021,,365,0.0,,0,
por_anio,2022,,365,0.0,,0,
por_anio,2023,,365,21.1,,77,
por_anio,2024,,366,28.1,,103,
por_anio,2025,,365,0.0,,0,
por_anio,2026,,212,9.0,,19,
