fecha,estrategia,cluster,n_agentes,mediana_margen_cop_kwh,media_margen_cop_kwh,puesto_del_dia
2026-01-01,Trader con sobrecobertura de contratos,4,17,-500,-350.44,4
2026-01-01,Trader no regulado,0,5,-500,-388.3,5
2026-01-01,Comercializador regulado,2,30,-65.67,-172.17,3
2026-01-01,Integrado/regional regulado,1,7,-43.4,-46.41,2
2026-01-01,Trader expuesto a bolsa (sin cobertura),3,6,-23.93,-24.1,1
2026-01-02,Trader con sobrecobertura de contratos,4,13,-199.39,-238.93,4
2026-01-02,Comercializador regulado,2,31,-64.9,-159.63,2
2026-01-02,Integrado/regional regulado,1,7,-48.55,-51.79,1
2026-01-02,Trader expuesto a bolsa (sin cobertura),3,6,-68.57,-68.29,3
2026-01-02,Trader no regulado,0,7,-500,-361.93,5
2026-01-03,Trader con sobrecobertura de contratos,4,12,-173.61,-215.09,5
2026-01-03,Comercializador regulado,2,31,-66.7,-161.25,2
2026-01-03,Integrado/regional regulado,1,7,-48.42,-48.73,1
2026-01-03,Trader no regulado,0,8,-157.97,-284.87,4
2026-01-03,Trader expuesto a bolsa (sin cobertura),3,6,-72.11,-71.89,3
2026-01-04,Trader con sobrecobertura de contratos,4,13,-217.27,-265.11,5
2026-01-04,Comercializador regulado,2,31,-62.71,-165.81,3
2026-01-04,Integrado/regional regulado,1,7,-47.1,-47.2,2
2026-01-04,Trader no regulado,0,7,-171.6,-256.26,4
2026-01-04,Trader expuesto a bolsa (sin cobertura),3,6,-35.64,-35.69,1
2026-01-05,Trader con sobrecobertura de contratos,4,9,-154.15,-232.38,5
2026-01-05,Comercializador regulado,2,30,-53.63,-154.16,2
2026-01-05,Trader no regulado,0,11,-110.66,-212.07,4
2026-01-05,Integrado/regional regulado,1,7,-49.94,-50.19,1
2026-01-05,Trader expuesto a bolsa (sin cobertura),3,7,-60.58,-59.97,3
2026-01-06,Trader con sobrecobertura de contratos,4,9,-139.21,-227.92,5
2026-01-06,Comercializador regulado,2,30,-61.67,-154.43,3
2026-01-06,Trader no regulado,0,11,-75.66,-226.61,4
2026-01-06,Integrado/regional regulado,1,7,-45.88,-47.83,1
2026-01-06,Trader expuesto a bolsa (sin cobertura),3,7,-52.2,-51.88,2
2026-01-07,Trader con sobrecobertura de contratos,4,9,-123.64,-221.63,5
2026-01-07,Comercializador regulado,2,30,-52.91,-145.68,3
2026-01-07,Trader no regulado,0,11,-107.64,-214.55,4
2026-01-07,Integrado/regional regulado,1,7,-43.47,-42.9,2
2026-01-07,Trader expuesto a bolsa (sin cobertura),3,7,-9.49,-10.51,1
2026-01-08,Trader con sobrecobertura de contratos,4,9,-118.84,-220.13,5
2026-01-08,Comercializador regulado,2,30,-39.99,-126.07,3
2026-01-08,Trader no regulado,0,11,-76.57,-196.0,4
2026-01-08,Integrado/regional regulado,1,8,-27.41,-51.09,2
2026-01-08,Trader expuesto a bolsa (sin cobertura),3,6,45.69,45.03,1
2026-01-09,Trader con sobrecobertura de contratos,4,9,-108.96,-178.0,5
2026-01-09,Comercializador regulado,2,28,-40.28,-135.36,3
2026-01-09,Trader no regulado,0,11,-85.69,-198.03,4
2026-01-09,Integrado/regional regulado,1,9,-29.61,-48.04,2
2026-01-09,Trader expuesto a bolsa (sin cobertura),3,7,42.28,39.71,1
2026-01-10,Trader con sobrecobertura de contratos,4,9,-134.34,-217.77,5
2026-01-10,Comercializador regulado,2,31,-49.99,-134.98,3
2026-01-10,Trader no regulado,0,11,-68.86,-197.38,4
2026-01-10,Integrado/regional regulado,1,7,-33.55,-32.76,2
2026-01-10,Trader expuesto a bolsa (sin cobertura),3,6,44.98,44.43,1
2026-01-11,Trader con sobrecobertura de contratos,4,11,-244.13,-255.49,5
2026-01-11,Comercializador regulado,2,31,-72.29,-157.57,3
2026-01-11,Integrado/regional regulado,1,7,-35.94,-31.24,2
2026-01-11,Trader no regulado,0,9,-105.6,-234.56,4
2026-01-11,Trader expuesto a bolsa (sin cobertura),3,6,92.06,91.09,1
2026-01-12,Trader con sobrecobertura de contratos,4,12,-138.51,-230.4,5
2026-01-12,Comercializador regulado,2,31,-51.79,-150.18,3
2026-01-12,Integrado/regional regulado,1,7,-34.73,-34.52,2
2026-01-12,Trader no regulado,0,8,-112.96,-250.98,4
2026-01-12,Trader expuesto a bolsa (sin cobertura),3,6,66.79,65.9,1
2026-01-13,Trader con sobrecobertura de contratos,4,9,-144.54,-206.93,5
2026-01-13,Comercializador regulado,2,31,-48.96,-129.18,3
2026-01-13,Trader no regulado,0,11,-71.87,-209.28,4
2026-01-13,Integrado/regional regulado,1,7,-30.82,-30.47,2
2026-01-13,Trader expuesto a bolsa (sin cobertura),3,6,76.03,75.25,1
2026-01-14,Trader con sobrecobertura de contratos,4,10,-120.42,-202.28,5
2026-01-14,Comercializador regulado,2,30,-45.26,-125.77,3
2026-01-14,Trader no regulado,0,10,-45.68,-187.24,4
2026-01-14,Integrado/regional regulado,1,8,-27.51,-44.26,2
2026-01-14,Trader expuesto a bolsa (sin cobertura),3,6,82.48,81.7,1
2026-01-15,Trader con sobrecobertura de contratos,4,9,-103.88,-184.13,5
2026-01-15,Trader no regulado,0,11,-49.27,-175.57,4
2026-01-15,Comercializador regulado,2,29,-42.9,-126.18,3
2026-01-15,Integrado/regional regulado,1,9,-23.57,-41.14,2
2026-01-15,Trader expuesto a bolsa (sin cobertura),3,6,78.58,77.64,1
2026-01-16,Trader con sobrecobertura de contratos,4,9,-121.24,-176.05,5
2026-01-16,Trader no regulado,0,11,-72.83,-187.01,4
2026-01-16,Comercializador regulado,2,29,-43.86,-128.93,3
2026-01-16,Integrado/regional regulado,1,9,-20.28,-37.07,2
2026-01-16,Trader expuesto a bolsa (sin cobertura),3,6,96.87,95.51,1
2026-01-17,Trader con sobrecobertura de contratos,4,10,-127.48,-182.36,5
2026-01-17,Trader no regulado,0,11,-88.0,-236.02,4
2026-01-17,Comercializador regulado,2,30,-65.41,-150.46,3
2026-01-17,Integrado/regional regulado,1,8,-12.45,-20.46,2
2026-01-17,Trader expuesto a bolsa (sin cobertura),3,6,104.32,103.33,1
2026-01-18,Trader con sobrecobertura de contratos,4,12,-166.7,-230.39,5
2026-01-18,Comercializador regulado,2,31,-72.81,-153.99,3
2026-01-18,Integrado/regional regulado,1,7,-29.33,-23.93,2
2026-01-18,Trader no regulado,0,8,-135.1,-259.44,4
2026-01-18,Trader expuesto a bolsa (sin cobertura),3,5,97.66,96.44,1
2026-01-19,Trader con sobrecobertura de contratos,4,11,-139.84,-215.94,5
2026-01-19,Comercializador regulado,2,29,-40.08,-122.46,3
2026-01-19,Trader no regulado,0,9,-58.5,-172.22,4
2026-01-19,Integrado/regional regulado,1,9,-18.33,-37.88,2
2026-01-19,Trader expuesto a bolsa (sin cobertura),3,5,75.97,75.05,1
2026-01-20,Trader con sobrecobertura de contratos,4,9,-109.71,-189.77,5
2026-01-20,Trader no regulado,0,11,-92.31,-214.93,4
2026-01-20,Comercializador regulado,2,29,-41.15,-123.01,3
2026-01-20,Integrado/regional regulado,1,9,-21.45,-40.49,2
2026-01-20,Trader expuesto a bolsa (sin cobertura),3,5,57.79,57.02,1
2026-01-21,Trader con sobrecobertura de contratos,4,11,-76.02,-196.48,4
2026-01-21,Comercializador regulado,2,29,-40.24,-125.21,3
2026-01-21,Integrado/regional regulado,1,9,-25.18,-41.52,2
2026-01-21,Trader no regulado,0,9,-123.89,-208.09,5
2026-01-21,Trader expuesto a bolsa (sin cobertura),3,6,54.37,53.78,1
2026-01-22,Trader con sobrecobertura de contratos,4,9,-117.68,-170.85,4
2026-01-22,Trader no regulado,0,11,-130.09,-205.08,5
2026-01-22,Comercializador regulado,2,29,-40.41,-124.27,3
2026-01-22,Integrado/regional regulado,1,9,-25.1,-42.82,2
2026-01-22,Trader expuesto a bolsa (sin cobertura),3,5,49.77,48.94,1
2026-01-23,Trader con sobrecobertura de contratos,4,9,-123.98,-174.96,5
2026-01-23,Trader no regulado,0,11,-76.49,-182.31,4
2026-01-23,Comercializador regulado,2,29,-39.48,-129.36,3
2026-01-23,Integrado/regional regulado,1,9,-27.32,-44.82,2
2026-01-23,Trader expuesto a bolsa (sin cobertura),3,6,40.15,39.39,1
2026-01-24,Trader con sobrecobertura de contratos,4,10,-111.35,-186.87,5
2026-01-24,Comercializador regulado,2,30,-56.53,-140.71,3
2026-01-24,Integrado/regional regulado,1,8,-27.9,-31.41,2
2026-01-24,Trader no regulado,0,10,-70.74,-204.85,4
2026-01-24,Trader expuesto a bolsa (sin cobertura),3,6,33.76,33.29,1
2026-01-25,Trader con sobrecobertura de contratos,4,11,-180.7,-280.12,5
2026-01-25,Comercializador regulado,2,31,-52.65,-156.25,3
2026-01-25,Integrado/regional regulado,1,7,-30.69,-34.06,2
2026-01-25,Trader no regulado,0,9,-135.22,-223.76,4
2026-01-25,Trader expuesto a bolsa (sin cobertura),3,6,22.89,22.46,1
2026-01-26,Trader con sobrecobertura de contratos,4,8,-58.37,-208.63,4
2026-01-26,Trader no regulado,0,12,-94.48,-191.31,5
2026-01-26,Comercializador regulado,2,29,-45.13,-135.61,3
2026-01-26,Integrado/regional regulado,1,9,-35.69,-51.38,2
2026-01-26,Trader expuesto a bolsa (sin cobertura),3,5,9.01,8.67,1
2026-01-27,Trader con sobrecobertura de contratos,4,7,-52.3,-185.79,4
2026-01-27,Trader no regulado,0,12,-85.84,-183.29,5
