estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,estrategia,n_maestros,n_efectivo,codigos,mediana_relativa_top_cop_kwh,mediana_margen_absoluto_cop_kwh,p_valor_bootstrap,ratio_replicacion,dsr,pct_dias_gana_segmento,kill_switch_1_0,drawdown_max_cop_kwh,ev_historico_cop_kwh,ev_anio_nino_cop_kwh,supera_capacidad_1_0,capacidad_pct_segmento,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,EMPC,ENIC,EGVC",9.01,83.95,0.005,0.977,1.0,100.0,0,0.0,83.95,83.96,0,2.6,0.0,1,1
2015-01-01,2015-03-31,2015-04-01,2015-04-07,MEDIANO,Comercializador regulado,10,2,"EPSC,ETTC,CNSC,CHCC,HLAC,CASC,EECC,ESCC,EEPC,ESSC",0.88,78.21,0.005,0.988,0.998,42.9,0,0.0,75.98,72.98,0,2.7,2.56,0,0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,GRANDE,Comercializador regulado,3,2,"EPMC,CDSC,EDCC",0.0,75.17,0.005,0.987,1.0,0.0,0,0.0,73.04,70.16,1,32.9,2.56,0,0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,PEQUEÑO,Trader no regulado,10,9,"TRMC,CCOC,PEEC,GSAC,ITLC,CMXC,EFEC,RQEC,ESPC,RTAC",-11.37,72.14,0.005,0.979,0.957,0.0,0,0.0,71.31,70.19,0,2.6,13.78,0,0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,MEDIANO,Trader no regulado,5,3,"ENDC,GECC,ISGC,PRIC,CHVC",7.68,83.95,0.1493,0.977,1.0,100.0,0,0.0,83.95,83.96,0,2.7,0.0,0,0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"CTIC,HIMC,EDPC",-25.22,52.37,0.4179,1.034,1.0,0.0,0,0.0,37.46,17.33,0,2.6,0.32,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,EMPC,ENIC,EGVC",7.96,84.61,0.005,0.999,1.0,100.0,0,0.0,84.79,85.03,0,2.6,0.0,1,1
2015-01-31,2015-04-30,2015-05-01,2015-05-07,MEDIANO,Comercializador regulado,10,2,"EPSC,ETTC,CHCC,CNSC,HLAC,EEPC,EECC,ESCC,CASC,ESSC",0.53,80.22,0.005,1.007,0.895,14.3,0,0.0,77.95,74.89,0,2.7,3.92,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,78.78,0.005,1.008,0.988,0.0,0,0.0,76.58,73.6,1,33.0,3.83,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,PEQUEÑO,Trader no regulado,10,10,"TRMC,CCOC,PEEC,GSAC,ITLC,CMXC,EFEC,RQEC,ESPC,RTAC",-20.21,63.47,0.005,1.012,0.907,0.0,0,0.0,62.73,61.73,0,2.6,10.28,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",5.76,84.61,0.204,0.999,1.0,100.0,0,0.0,84.79,85.03,0,2.7,0.0,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-19.16,60.06,0.4826,1.045,0.992,0.0,0,0.0,44.33,23.1,0,2.6,0.15,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,PEQUEÑO,Comercializador regulado,10,5,"CTIC,ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,EMPC,ENIC",10.81,83.8,0.005,0.995,0.987,100.0,0,0.0,83.84,83.89,0,2.6,0.0,1,1
2015-03-02,2015-05-30,2015-05-31,2015-06-06,MEDIANO,Comercializador regulado,10,2,"EPSC,ETTC,CNSC,HLAC,CHCC,EMSC,ESCC,CASC,EEPC,ESSC",0.86,75.7,0.005,0.987,1.0,0.0,0,0.0,74.94,73.92,0,2.7,5.58,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,75.2,0.005,0.987,1.0,0.0,0,0.0,74.36,73.23,1,32.7,2.93,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,PEQUEÑO,Trader no regulado,10,10,"TRMC,CCOC,PEEC,GSAC,ITLC,CMXC,EFEC,RQEC,ESPC,RTAC",-30.08,49.03,0.005,0.99,1.0,0.0,0,0.0,47.71,45.92,0,2.6,10.54,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-25.13,38.64,0.1045,0.916,1.0,0.0,0,0.0,25.79,8.46,0,2.6,3.39,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",8.98,83.8,0.1542,0.995,0.997,100.0,0,0.0,83.84,83.89,0,2.7,0.0,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Comercializador regulado,10,2,"CTIC,ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CQTC,EMPC,ESCC",9.83,82.14,0.005,0.976,0.837,100.0,0,0.0,82.3,82.5,0,2.2,0.0,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,MEDIANO,Comercializador regulado,10,5,"EPSC,ETTC,CNSC,HLAC,CHCC,EMSC,EEPC,ESSC,CDNC,EDQC",1.36,78.2,0.005,0.973,0.861,100.0,0,0.0,77.12,75.66,0,2.7,2.58,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,77.0,0.005,0.972,0.98,0.0,0,0.0,75.83,74.24,1,32.2,2.08,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Trader no regulado,10,10,"TRMC,CCOC,PEEC,GSAC,ITLC,EFEC,CMXC,RQEC,ESPC,RTAC",-37.9,35.8,0.005,0.933,0.933,0.0,0,0.0,35.74,35.67,0,2.2,6.66,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",5.8,82.14,0.1493,0.976,0.937,100.0,0,0.0,82.3,82.5,0,2.7,0.0,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),2,2,"CTIC,HIMC",-23.04,44.6,0.2985,0.912,0.934,0.0,0,0.0,29.89,10.04,0,2.2,3.34,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EMPC",13.03,80.54,0.005,0.962,1.0,85.7,0,0.0,80.87,81.31,0,2.7,0.0,1,1
2015-05-01,2015-07-29,2015-07-30,2015-08-05,MEDIANO,Comercializador regulado,10,8,"EPSC,ETTC,CNSC,HLAC,CHCC,EMSC,CDNC,EEPC,ESSC,EDQC",1.32,79.78,0.005,1.002,1.0,85.7,0,0.0,78.53,76.85,0,2.6,1.83,1,1
2015-05-01,2015-07-29,2015-07-30,2015-08-05,GRANDE,Comercializador regulado,3,1,"EPMC,CDSC,EDCC",0.0,79.84,0.005,1.007,1.0,42.9,0,0.0,78.36,76.37,1,31.9,0.87,0,0
2015-05-01,2015-07-29,2015-07-30,2015-08-05,PEQUEÑO,Trader no regulado,9,9,"TRMC,GSAC,PEEC,ITLC,CMXC,EFEC,RQEC,ESPC,RTAC",-64.37,7.23,0.005,0.784,1.0,0.0,0,0.0,6.44,5.37,0,2.7,6.85,0,0
