estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado",0.005,0.978,1.0,,100.0,0,83.95,0,,0,0
2015-01-01,2015-03-31,2015-04-01,2015-04-07,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.978,1.0,,100.0,0,83.95,0,,1,1
2015-01-01,2015-03-31,2015-04-01,2015-04-07,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.987,1.0,,0.0,0,73.04,1,,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado",0.005,1.001,1.0,,100.0,0,84.79,0,,0,0
2015-01-31,2015-04-30,2015-05-01,2015-05-07,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.001,1.0,,100.0,0,84.79,0,,1,1
2015-01-31,2015-04-30,2015-05-01,2015-05-07,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,1.008,1.0,,0.0,0,76.58,1,,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado,Comercializador regulado",0.005,0.995,1.0,,100.0,0,83.84,0,,0,0
2015-03-02,2015-05-30,2015-05-31,2015-06-06,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.995,0.999,,100.0,0,83.84,0,,1,1
2015-03-02,2015-05-30,2015-05-31,2015-06-06,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,0.987,1.0,,0.0,0,74.36,1,,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Comercializador regulado,Trader no regulado",0.005,0.976,0.986,,100.0,0,82.3,0,,0,0
2015-04-01,2015-06-29,2015-06-30,2015-07-06,PEQUEÑO,Comercializador regulado,3,3,"Comercializador regulado,Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.976,0.969,,100.0,0,82.3,0,,1,1
