estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,n1_completo_1_0,n2_1_0,valida_final_1_0,gates_detalle
2017-03-21,2017-06-18,2017-06-19,2017-06-25,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.001,1.052,1.0,100.0,100.0,0,105.81,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-04-20,2017-07-18,2017-07-19,2017-07-25,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.001,0.979,0.996,100.0,100.0,0,104.5,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2021-05-29,2021-08-26,2021-08-27,2021-09-02,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,0.997,0.992,100.0,100.0,0,59.71,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2021-03-30,2021-06-27,2021-06-28,2021-07-04,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,1.028,1.0,100.0,100.0,0,65.42,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2018-08-13,2018-11-10,2018-11-11,2018-11-17,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.092,0.99,100.0,100.0,0,108.13,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-09-17,2017-12-15,2017-12-16,2017-12-22,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.217,1.0,100.0,100.0,0,108.53,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2021-02-28,2021-05-28,2021-05-29,2021-06-04,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader expuesto a bolsa (sin cobertura)",0.001,1.534,1.0,100.0,100.0,0,65.16,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2018-07-14,2018-10-11,2018-10-12,2018-10-18,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,Trader expuesto a bolsa (sin cobertura),0.001,0.99,1.0,,100.0,0,74.76,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2022-02-23,2022-05-23,2022-05-24,2022-05-30,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.724,0.986,100.0,100.0,0,61.74,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2018-03-16,2018-06-13,2018-06-14,2018-06-20,MEDIANO,Comercializador mixto,3,3,"Comercializador mixto,Trader no regulado",0.001,1.102,0.971,,100.0,0,105.12,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2021-08-27,2021-11-24,2021-11-25,2021-12-01,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,Trader expuesto a bolsa (sin cobertura),0.001,1.019,1.0,100.0,100.0,0,46.84,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2022-03-25,2022-06-22,2022-06-23,2022-06-29,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.001,1.026,0.987,100.0,100.0,0,55.91,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2017-01-20,2017-04-19,2017-04-20,2017-04-26,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.001,1.161,1.0,100.0,100.0,0,101.13,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2025-03-09,2025-06-06,2025-06-07,2025-06-13,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,4,"Trader expuesto a bolsa (sin cobertura),Trader expuesto a bolsa (sin cobertura)",0.001,1.16,0.981,100.0,100.0,0,39.69,0,,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
