estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,estrategia,n_maestros,n_efectivo,codigos,p_valor_bootstrap,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,n1_completo_1_0,n2_1_0,valida_final_1_0,gates_detalle
2015-08-29,2015-11-26,2015-11-27,2015-12-03,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EDPC",0.001,0.94,1.0,90.0,100.0,0,58.98,0,4.22,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2015-09-28,2015-12-26,2015-12-27,2016-01-02,PEQUEÑO,Comercializador regulado,10,5,"ASCC,CETC,EBPC,EMEC,EPTC,EVSC,CTIC,CQTC,ENIC,EDPC",0.001,1.065,0.954,80.0,100.0,0,65.37,0,5.06,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2020-01-05,2020-04-03,2020-04-04,2020-04-10,PEQUEÑO,Comercializador regulado,10,8,"ASCC,CETC,EVSC,EBPC,ENIC,CQTC,EDPC,DLRC,PEEC,EPTC",0.001,1.161,0.992,50.0,100.0,0,29.89,0,5.27,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2020-04-04,2020-07-02,2020-07-03,2020-07-09,PEQUEÑO,Comercializador regulado,10,7,"ASCC,CETC,EVSC,EGVC,ENIC,EDQC,EDPC,DLRC,EBPC,EPTC",0.001,1.121,1.0,60.0,71.4,0,35.31,0,2.96,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2019-12-06,2020-03-04,2020-03-05,2020-03-11,PEQUEÑO,Comercializador regulado,10,9,"ASCC,CETC,EVSC,CQTC,ENIC,EBPC,EDPC,CTIC,EGVC,DLRC",0.001,1.007,0.955,70.0,100.0,0,28.37,0,5.27,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2019-11-06,2020-02-03,2020-02-04,2020-02-10,PEQUEÑO,Comercializador regulado,10,9,"ASCC,CETC,EGVC,ENIC,EVSC,EDPC,CTIC,CQTC,EPTC,EBPC",0.001,0.849,0.996,70.0,100.0,0,29.57,0,5.95,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2019-09-07,2019-12-05,2019-12-06,2019-12-12,PEQUEÑO,Comercializador regulado,10,8,"ASCC,CETC,EGVC,ENIC,EPTC,CTIC,CQTC,EVSC,EDPC,EMPC",0.001,0.966,1.0,70.0,100.0,0,33.8,0,4.04,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2019-01-10,2019-04-09,2019-04-10,2019-04-16,PEQUEÑO,Comercializador regulado,10,8,"ASCC,CETC,EGVC,ENIC,EDPC,EVSC,EPTC,EBPC,DLRC,ETTC",0.001,1.046,0.999,60.0,100.0,0,40.54,0,3.67,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2019-10-07,2020-01-04,2020-01-05,2020-01-11,PEQUEÑO,Comercializador regulado,10,8,"ASCC,CETC,EGVC,ENIC,CTIC,EPTC,EVSC,EDPC,CQTC,EMPC",0.001,0.911,1.0,60.0,100.0,0,32.43,0,4.04,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
2018-12-11,2019-03-10,2019-03-11,2019-03-17,PEQUEÑO,Comercializador regulado,10,6,"ASCC,CETC,EGVC,ENIC,EDPC,EVSC,EBPC,ETTC,DLRC,EPTC",0.001,1.004,1.0,70.0,100.0,0,40.72,0,3.62,True,True,1,E1_gana_segmento=1;E2_sin_kill_switch=1;E3_ev_historico=1;E4_capacidad=1;V1_bootstrap=1;V2_n_efectivo=1;V3_holdout=1;V4_replicacion=1;V5_dsr=1;
