fecha,codigo_agente,nombre_agente,segmento,estrategia,cluster,demanda_gwh_dia,pct_no_regulado,pct_cobertura_contratos,pct_exposicion_bolsa,pct_sicep,compra_regulado_1_0,margen_est_cop_kwh,costo_energia_est_cop_kwh
2025-01-01,ASCC,A.S.C. INGENIERIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0636,32.66,100.0,0.0,0.0,1.0,-32.73,299.5
2025-01-01,BIAC,BIA ENERGY S.A.S. E.S.P,MEDIANO,Integrado/regional regulado,2,0.6008,49.1,228.5,0.0,100.0,1.0,-500,299.5
2025-01-01,CASC,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,MEDIANO,Integrado/regional regulado,2,1.3867,0.24,73.32,26.68,91.57,1.0,-12.39,279.2
2025-01-01,CBNC,COLOMBINA ENERGIA SAS ESP,PEQUEÑO,Trader no regulado,1,0.0346,100.0,152.63,0.0,0.0,0.0,-230.44,299.5
2025-01-01,CDNC,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,MEDIANO,Integrado/regional regulado,2,1.9045,5.17,73.57,26.58,90.39,1.0,-13.03,279.3
2025-01-01,CEOC,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,MEDIANO,Integrado/regional regulado,2,1.6724,2.19,84.13,20.31,90.62,1.0,-33.92,284.7
2025-01-01,CETC,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,MEDIANO,Integrado/regional regulado,2,0.4439,16.06,100.0,0.0,93.28,1.0,-32.73,299.5
2025-01-01,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,MEDIANO,Integrado/regional regulado,2,2.4664,0.0,91.88,8.16,86.95,1.0,-26.65,293.3
2025-01-01,CHVC,AES COLOMBIA & CIA. S.C.A. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,0.7195,100.0,186.08,0.0,0.0,1.0,-356.07,299.5
2025-01-01,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,GRANDE,Comercializador regulado,3,23.574,7.04,90.98,9.5,37.28,1.0,-27.3,292.3
