segmento,posicion,estrategia,cluster,dias_presente,mediana_margen_cop_kwh,media_margen_cop_kwh,dias_puesto_1,pct_dias_top3,rango_promedio,tendencia_2da_menos_1ra_mitad,es_atipico
GRANDE,1,Trader no regulado,1,212,-5.06,-26.02,165,100.0,1.22,51.06,0
GRANDE,2,Comercializador regulado,3,212,-17.89,-29.98,47,100.0,1.78,34.29,0
MEDIANO,1,Comercializador regulado,3,212,-4.82,-25.31,170,97.2,1.32,52.66,0
MEDIANO,2,Integrado/regional regulado,2,212,-39.9,-53.74,0,87.7,2.75,30.05,0
MEDIANO,3,Trader con sobrecobertura de contratos,4,212,-45.34,-64.87,34,65.6,2.69,-6.36,0
MEDIANO,4,Trader no regulado,1,212,-67.18,-74.52,1,45.3,3.4,38.41,0
MEDIANO,5,Trader expuesto a bolsa (sin cobertura),0,12,-9.37,-47.71,7,75.0,2.08,68.27,1
PEQUEÑO,1,Trader expuesto a bolsa (sin cobertura),0,212,64.65,-5.23,174,98.6,1.3,194.1,0
PEQUEÑO,2,Integrado/regional regulado,2,212,-59.74,-72.21,35,100.0,1.94,28.82,0
PEQUEÑO,3,Trader no regulado,1,212,-253.23,-254.11,1,88.2,2.92,-63.77,0
PEQUEÑO,4,Trader con sobrecobertura de contratos,4,212,-500,-437.34,2,13.2,3.84,74.33,0
