fecha,precio_bolsa_cop_kwh,precio_contratos_cop_kwh,spread_bolsa_menos_contratos,precio_escasez_cop_kwh,dia_escasez_1_0,estrategia_ganadora
2025-01-01,223.3,299.5,-76.2,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-02,469.7,308.0,161.7,797.4,0,Comercializador regulado
2025-01-03,509.9,309.6,200.2,797.4,0,Comercializador regulado
2025-01-04,417.2,306.0,111.2,797.4,0,Comercializador regulado
2025-01-05,181.6,298.8,-117.2,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-06,326.1,302.8,23.3,797.4,0,Comercializador regulado
2025-01-07,356.6,302.5,54.1,797.4,0,Comercializador regulado
2025-01-08,243.2,299.7,-56.5,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-09,224.0,299.3,-75.3,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-10,220.6,299.0,-78.4,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-11,268.9,300.6,-31.7,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-12,298.9,299.1,-0.2,797.4,0,Trader expuesto a bolsa (sin cobertura)
2025-01-13,381.4,305.0,76.4,797.4,0,Comercializador regulado
2025-01-14,447.0,308.4,138.6,797.4,0,Comercializador regulado
2025-01-15,553.8,309.1,244.8,797.4,0,Comercializador regulado
2025-01-16,597.8,314.0,283.8,797.4,0,Trader con sobrecobertura de contratos
2025-01-17,688.4,317.6,370.8,797.4,0,Comercializador regulado
2025-01-18,671.1,313.8,357.3,797.4,0,Comercializador regulado
2025-01-19,644.1,313.3,330.8,797.4,0,Comercializador regulado
2025-01-20,658.7,317.2,341.5,797.4,0,Comercializador regulado
2025-01-21,682.2,315.0,367.2,797.4,0,Comercializador regulado
2025-01-22,706.2,318.3,387.9,797.4,0,Comercializador regulado
2025-01-23,738.2,316.4,421.8,797.4,0,Trader no regulado
2025-01-24,681.4,314.8,366.6,797.4,0,Comercializador regulado
2025-01-25,722.1,314.6,407.5,797.4,0,Comercializador regulado
2025-01-26,760.3,316.2,444.2,797.4,0,Comercializador regulado
2025-01-27,738.1,315.7,422.4,797.4,0,Trader no regulado
2025-01-28,740.8,316.2,424.6,797.4,0,Comercializador regulado
2025-01-29,765.9,315.2,450.7,797.4,0,Trader con sobrecobertura de contratos
2025-01-30,708.5,314.6,393.8,797.4,0,Comercializador regulado
2025-01-31,644.2,312.3,331.9,797.4,0,Comercializador regulado
2025-02-01,635.0,312.8,322.2,793.9,0,Comercializador regulado
2025-02-02,499.4,310.4,189.0,793.9,0,Comercializador regulado
2025-02-03,655.3,312.1,343.2,793.9,0,Comercializador regulado
2025-02-04,678.6,312.1,366.5,793.9,0,Comercializador regulado
2025-02-05,711.0,314.1,396.8,793.9,0,Integrado/regional regulado
2025-02-06,740.3,312.3,428.1,793.9,0,Comercializador regulado
2025-02-07,648.8,312.9,335.9,793.9,0,Trader con sobrecobertura de contratos
2025-02-08,492.6,309.9,182.7,793.9,0,Comercializador regulado
2025-02-09,627.9,310.4,317.5,793.9,0,Comercializador regulado
2025-02-10,601.3,311.5,289.7,793.9,0,Comercializador regulado
2025-02-11,427.9,308.1,119.8,793.9,0,Comercializador regulado
2025-02-12,620.9,311.3,309.6,793.9,0,Comercializador regulado
2025-02-13,562.3,310.4,251.9,793.9,0,Trader con sobrecobertura de contratos
2025-02-14,463.4,308.3,155.1,793.9,0,Trader con sobrecobertura de contratos
2025-02-15,440.3,304.3,136.0,793.9,0,Comercializador regulado
2025-02-16,346.6,306.5,40.1,793.9,0,Comercializador regulado
2025-02-17,312.8,305.6,7.2,793.9,0,Comercializador regulado
2025-02-18,277.3,304.3,-27.1,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-19,237.0,304.0,-67.0,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-20,257.9,304.2,-46.4,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-21,213.8,303.3,-89.5,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-22,199.3,303.4,-104.2,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-23,195.0,303.3,-108.3,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-24,274.3,304.3,-30.0,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-25,317.2,305.7,11.5,793.9,0,Comercializador regulado
2025-02-26,273.3,305.1,-31.8,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-27,245.4,304.1,-58.6,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-02-28,243.4,303.9,-60.4,793.9,0,Trader expuesto a bolsa (sin cobertura)
2025-03-01,170.1,297.8,-127.7,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-02,153.1,298.3,-145.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-03,220.4,299.2,-78.8,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-04,268.6,299.9,-31.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-05,228.3,299.6,-71.3,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-06,234.7,299.4,-64.7,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-07,192.2,298.6,-106.4,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-08,190.1,298.1,-108.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-09,191.8,298.7,-107.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-10,251.6,299.8,-48.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-11,301.4,300.5,0.9,770.5,0,Comercializador regulado
2025-03-12,289.5,300.6,-11.1,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-13,258.9,299.9,-41.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-14,248.7,300.0,-51.3,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-15,242.5,299.5,-57.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-16,245.9,300.1,-54.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-17,266.2,300.4,-34.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-18,245.7,299.9,-54.2,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-19,265.2,300.2,-35.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-20,277.9,300.6,-22.7,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-21,230.6,299.6,-69.0,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-22,211.0,298.9,-87.9,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-23,162.7,298.2,-135.6,770.5,0,Trader expuesto a bolsa (sin cobertura)
2025-03-24,202.0,298.7,-96.7,770.5,0,Trader expuesto a bolsa (sin cobertura)
