fecha,estrategia,cluster,n_agentes,mediana_margen_cop_kwh,media_margen_cop_kwh,puesto_del_dia
2025-01-01,Trader con sobrecobertura de contratos,4,10,-500,-392.15,5
2025-01-01,Integrado/regional regulado,2,24,-33.92,-129.05,3
2025-01-01,Trader no regulado,1,13,-402.23,-303.07,4
2025-01-01,Comercializador regulado,3,9,-19.3,-41.56,2
2025-01-01,Trader expuesto a bolsa (sin cobertura),0,6,24.01,23.31,1
2025-01-02,Trader con sobrecobertura de contratos,4,9,-500,-373.19,5
2025-01-02,Integrado/regional regulado,2,26,-97.35,-165.03,2
2025-01-02,Trader no regulado,1,13,-194.62,-257.24,4
2025-01-02,Comercializador regulado,3,9,-67.64,-91.06,1
2025-01-02,Trader expuesto a bolsa (sin cobertura),0,6,-194.48,-192.55,3
2025-01-03,Trader con sobrecobertura de contratos,4,10,-500,-338.5,5
2025-01-03,Integrado/regional regulado,2,25,-107.49,-151.5,2
2025-01-03,Trader no regulado,1,12,-126.66,-261.46,3
2025-01-03,Comercializador regulado,3,9,-74.79,-91.73,1
2025-01-03,Trader expuesto a bolsa (sin cobertura),0,7,-230.15,-227.26,4
2025-01-04,Trader con sobrecobertura de contratos,4,9,-500,-311.76,5
2025-01-04,Integrado/regional regulado,2,25,-78.85,-141.61,2
2025-01-04,Trader no regulado,1,12,-81.03,-215.14,3
2025-01-04,Comercializador regulado,3,9,-59.52,-76.88,1
2025-01-04,Trader expuesto a bolsa (sin cobertura),0,7,-144.49,-142.18,4
2025-01-05,Trader con sobrecobertura de contratos,4,8,-264.56,-309.22,5
2025-01-05,Integrado/regional regulado,2,26,-32.02,-131.83,3
2025-01-05,Trader no regulado,1,12,-69.34,-212.49,4
2025-01-05,Comercializador regulado,3,8,-10.25,-39.72,2
2025-01-05,Trader expuesto a bolsa (sin cobertura),0,7,50.3,47.87,1
2025-01-06,Trader con sobrecobertura de contratos,4,8,-500,-340.8,5
2025-01-06,Integrado/regional regulado,2,27,-51.22,-139.48,2
2025-01-06,Trader no regulado,1,12,-121.15,-225.1,4
2025-01-06,Comercializador regulado,3,8,-40.18,-60.85,1
2025-01-06,Trader expuesto a bolsa (sin cobertura),0,7,-57.97,-57.28,3
2025-01-07,Trader con sobrecobertura de contratos,4,8,-500,-335.39,5
2025-01-07,Integrado/regional regulado,2,26,-67.39,-120.35,2
2025-01-07,Trader no regulado,1,12,-83.81,-217.71,3
2025-01-07,Comercializador regulado,3,9,-47.49,-63.6,1
2025-01-07,Trader expuesto a bolsa (sin cobertura),0,7,-87.2,-83.04,4
2025-01-08,Trader con sobrecobertura de contratos,4,9,-500,-302.22,5
2025-01-08,Integrado/regional regulado,2,26,-36.0,-90.16,3
2025-01-08,Trader no regulado,1,12,-69.19,-198.97,4
2025-01-08,Comercializador regulado,3,9,-23.64,-41.65,2
2025-01-08,Trader expuesto a bolsa (sin cobertura),0,6,11.87,11.03,1
2025-01-09,Trader con sobrecobertura de contratos,4,8,-97.73,-275.27,5
2025-01-09,Integrado/regional regulado,2,26,-40.48,-103.63,3
2025-01-09,Trader no regulado,1,13,-67.76,-215.51,4
2025-01-09,Comercializador regulado,3,9,-18.0,-36.85,2
2025-01-09,Trader expuesto a bolsa (sin cobertura),0,6,23.89,22.95,1
2025-01-10,Trader con sobrecobertura de contratos,4,8,-62.19,-269.39,4
2025-01-10,Integrado/regional regulado,2,26,-32.24,-82.46,3
2025-01-10,Trader no regulado,1,13,-66.06,-180.47,5
2025-01-10,Comercializador regulado,3,9,-14.77,-35.19,2
2025-01-10,Trader expuesto a bolsa (sin cobertura),0,6,26.2,24.87,1
2025-01-11,Trader con sobrecobertura de contratos,4,7,-500,-300.35,5
2025-01-11,Integrado/regional regulado,2,27,-37.5,-98.55,3
2025-01-11,Trader no regulado,1,13,-66.64,-185.31,4
2025-01-11,Comercializador regulado,3,9,-26.4,-46.21,2
2025-01-11,Trader expuesto a bolsa (sin cobertura),0,6,-4.73,-5.4,1
2025-01-12,Trader con sobrecobertura de contratos,4,8,-231.25,-293.01,5
2025-01-12,Integrado/regional regulado,2,25,-47.13,-134.17,3
2025-01-12,Trader no regulado,1,12,-93.69,-224.63,4
2025-01-12,Comercializador regulado,3,9,-32.28,-50.67,2
2025-01-12,Trader expuesto a bolsa (sin cobertura),0,8,-32.13,-32.14,1
2025-01-13,Trader con sobrecobertura de contratos,4,8,-98.73,-282.25,3
2025-01-13,Integrado/regional regulado,2,27,-66.36,-113.5,2
2025-01-13,Trader no regulado,1,13,-177.36,-258.11,5
2025-01-13,Comercializador regulado,3,9,-55.58,-69.91,1
2025-01-13,Trader expuesto a bolsa (sin cobertura),0,5,-111.28,-111.23,4
2025-01-14,Trader con sobrecobertura de contratos,4,8,-78.33,-279.26,2
2025-01-14,Integrado/regional regulado,2,27,-91.43,-121.28,3
2025-01-14,Trader no regulado,1,12,-100.16,-227.86,4
2025-01-14,Comercializador regulado,3,9,-71.47,-83.58,1
2025-01-14,Trader expuesto a bolsa (sin cobertura),0,5,-174.06,-174.98,5
