segmento,fecha,estrategia,cluster,n_agentes,mediana_margen_cop_kwh,media_margen_cop_kwh,puesto_del_dia
GRANDE,2025-01-01,Comercializador regulado,3,5,-27.3,-65.13,2
GRANDE,2025-01-01,Trader no regulado,1,2,-3.21,-202.72,1
GRANDE,2025-01-02,Comercializador regulado,3,5,-64.7,-94.41,1
GRANDE,2025-01-02,Trader no regulado,1,2,-113.19,-201.73,2
GRANDE,2025-01-03,Comercializador regulado,3,5,-74.19,-101.07,1
GRANDE,2025-01-03,Trader no regulado,1,2,-126.66,-159.58,2
GRANDE,2025-01-04,Comercializador regulado,3,5,-56.61,-88.29,1
GRANDE,2025-01-04,Trader no regulado,1,2,-84.28,-126.65,2
GRANDE,2025-01-05,Comercializador regulado,3,5,-24.0,-58.28,2
GRANDE,2025-01-05,Trader no regulado,1,2,8.88,-83.19,1
GRANDE,2025-01-06,Comercializador regulado,3,5,-40.18,-73.18,1
GRANDE,2025-01-06,Trader no regulado,1,2,-46.3,-111.36,2
GRANDE,2025-01-07,Comercializador regulado,3,5,-44.57,-75.39,1
GRANDE,2025-01-07,Trader no regulado,1,2,-57.21,-114.67,2
GRANDE,2025-01-08,Comercializador regulado,3,5,-27.11,-58.21,2
GRANDE,2025-01-08,Trader no regulado,1,2,-9.56,-69.88,1
GRANDE,2025-01-09,Comercializador regulado,3,5,-24.62,-53.12,2
GRANDE,2025-01-09,Trader no regulado,1,2,-4.67,-68.42,1
GRANDE,2025-01-10,Comercializador regulado,3,5,-24.05,-52.71,2
GRANDE,2025-01-10,Trader no regulado,1,2,-2.25,-60.57,1
GRANDE,2025-01-11,Comercializador regulado,3,5,-30.45,-62.56,2
GRANDE,2025-01-11,Trader no regulado,1,2,-21.9,-83.09,1
GRANDE,2025-01-12,Comercializador regulado,3,5,-32.28,-65.2,2
GRANDE,2025-01-12,Trader no regulado,1,2,-32.24,-102.2,1
GRANDE,2025-01-13,Comercializador regulado,3,5,-51.21,-80.29,1
GRANDE,2025-01-13,Trader no regulado,1,2,-70.89,-124.12,2
GRANDE,2025-01-14,Comercializador regulado,3,5,-65.79,-91.29,1
GRANDE,2025-01-14,Trader no regulado,1,2,-100.16,-115.86,2
GRANDE,2025-01-15,Comercializador regulado,3,5,-84.55,-110.37,1
GRANDE,2025-01-15,Trader no regulado,1,2,-121.53,-126.58,2
GRANDE,2025-01-16,Comercializador regulado,3,5,-95.56,-112.3,1
GRANDE,2025-01-16,Trader no regulado,1,2,-139.26,-149.6,2
GRANDE,2025-01-17,Comercializador regulado,3,5,-118.6,-130.87,1
GRANDE,2025-01-17,Trader no regulado,1,2,-125.83,-167.35,2
GRANDE,2025-01-18,Comercializador regulado,3,5,-114.58,-131.03,1
GRANDE,2025-01-18,Trader no regulado,1,2,-131.15,-161.82,2
GRANDE,2025-01-19,Comercializador regulado,3,5,-106.77,-127.44,1
GRANDE,2025-01-19,Trader no regulado,1,2,-166.98,-176.6,2
GRANDE,2025-01-20,Comercializador regulado,3,5,-110.16,-126.58,1
GRANDE,2025-01-20,Trader no regulado,1,2,-177.67,-186.1,2
GRANDE,2025-01-21,Comercializador regulado,3,5,-116.42,-139.33,2
GRANDE,2025-01-21,Trader no regulado,1,2,-109.21,-162.37,1
GRANDE,2025-01-22,Comercializador regulado,3,5,-127.17,-145.1,2
GRANDE,2025-01-22,Trader no regulado,1,2,-114.0,-178.45,1
GRANDE,2025-01-23,Comercializador regulado,3,5,-110.2,-115.05,1
GRANDE,2025-01-23,Trader no regulado,1,2,-131.7,-161.66,2
GRANDE,2025-01-24,Comercializador regulado,3,5,-101.74,-102.13,1
GRANDE,2025-01-24,Trader no regulado,1,2,-137.79,-149.97,2
GRANDE,2025-01-25,Comercializador regulado,3,5,-102.69,-110.87,1
GRANDE,2025-01-25,Trader no regulado,1,2,-107.21,-158.87,2
GRANDE,2025-01-26,Comercializador regulado,3,5,-105.29,-109.23,2
GRANDE,2025-01-26,Trader no regulado,1,2,-104.76,-161.63,1
GRANDE,2025-01-27,Comercializador regulado,3,5,-112.56,-109.78,1
GRANDE,2025-01-27,Trader no regulado,1,2,-128.68,-161.06,2
GRANDE,2025-01-28,Comercializador regulado,3,5,-106.55,-111.73,1
GRANDE,2025-01-28,Trader no regulado,1,2,-130.54,-172.19,2
GRANDE,2025-01-29,Comercializador regulado,3,5,-115.98,-117.57,1
GRANDE,2025-01-29,Trader no regulado,1,2,-121.84,-169.13,2
GRANDE,2025-01-30,Comercializador regulado,3,5,-110.73,-108.68,1
GRANDE,2025-01-30,Trader no regulado,1,2,-116.08,-146.93,2
GRANDE,2025-01-31,Comercializador regulado,3,5,-100.06,-101.84,1
GRANDE,2025-01-31,Trader no regulado,1,2,-126.75,-146.62,2
GRANDE,2025-02-01,Comercializador regulado,3,5,-89.67,-91.7,1
GRANDE,2025-02-01,Trader no regulado,1,2,-148.95,-160.46,2
GRANDE,2025-02-02,Comercializador regulado,3,5,-70.28,-69.54,1
GRANDE,2025-02-02,Trader no regulado,1,2,-113.39,-140.72,2
GRANDE,2025-02-03,Comercializador regulado,3,5,-82.15,-88.24,1
GRANDE,2025-02-03,Trader no regulado,1,2,-168.24,-181.21,2
GRANDE,2025-02-04,Comercializador regulado,3,5,-97.71,-91.85,1
GRANDE,2025-02-04,Trader no regulado,1,2,-149.16,-158.92,2
GRANDE,2025-02-05,Comercializador regulado,3,5,-90.75,-96.69,1
GRANDE,2025-02-05,Trader no regulado,1,2,-116.03,-152.63,2
GRANDE,2025-02-06,Comercializador regulado,3,5,-114.0,-106.73,2
GRANDE,2025-02-06,Trader no regulado,1,2,-101.58,-153.59,1
GRANDE,2025-02-07,Comercializador regulado,3,5,-84.53,-93.59,1
GRANDE,2025-02-07,Trader no regulado,1,2,-122.0,-153.42,2
GRANDE,2025-02-08,Comercializador regulado,3,5,-62.1,-66.67,1
GRANDE,2025-02-08,Trader no regulado,1,2,-110.31,-112.77,2
GRANDE,2025-02-09,Comercializador regulado,3,5,-84.44,-89.01,1
GRANDE,2025-02-09,Trader no regulado,1,2,-111.94,-141.76,2
GRANDE,2025-02-10,Comercializador regulado,3,5,-74.6,-78.01,1
GRANDE,2025-02-10,Trader no regulado,1,2,-146.58,-149.53,2
GRANDE,2025-02-11,Comercializador regulado,3,5,-55.1,-56.62,1
GRANDE,2025-02-11,Trader no regulado,1,2,-78.64,-92.96,2
GRANDE,2025-02-12,Comercializador regulado,3,5,-80.54,-84.58,1
GRANDE,2025-02-12,Trader no regulado,1,2,-119.12,-140.21,2
GRANDE,2025-02-13,Comercializador regulado,3,5,-74.94,-76.8,1
GRANDE,2025-02-13,Trader no regulado,1,2,-121.09,-127.66,2
GRANDE,2025-02-14,Comercializador regulado,3,5,-57.6,-62.12,1
GRANDE,2025-02-14,Trader no regulado,1,2,-101.88,-106.86,2
GRANDE,2025-02-15,Comercializador regulado,3,5,-58.08,-57.26,1
GRANDE,2025-02-15,Trader no regulado,1,2,-90.85,-100.37,2
GRANDE,2025-02-16,Comercializador regulado,3,5,-46.36,-47.51,1
GRANDE,2025-02-16,Trader no regulado,1,2,-55.4,-94.24,2
GRANDE,2025-02-17,Comercializador regulado,3,5,-40.33,-42.57,1
GRANDE,2025-02-17,Trader no regulado,1,2,-41.56,-87.92,2
GRANDE,2025-02-18,Comercializador regulado,3,5,-34.74,-37.16,2
GRANDE,2025-02-18,Trader no regulado,1,2,-32.37,-68.96,1
GRANDE,2025-02-19,Comercializador regulado,3,5,-30.1,-32.1,2
GRANDE,2025-02-19,Trader no regulado,1,2,-16.24,-58.94,1
GRANDE,2025-02-20,Comercializador regulado,3,5,-32.24,-34.23,2
GRANDE,2025-02-20,Trader no regulado,1,2,-20.79,-62.36,1
GRANDE,2025-02-21,Comercializador regulado,3,5,-26.68,-28.39,2
GRANDE,2025-02-21,Trader no regulado,1,2,-5.75,-49.86,1
GRANDE,2025-02-22,Comercializador regulado,3,5,-25.04,-27.54,2
GRANDE,2025-02-22,Trader no regulado,1,2,-0.94,-49.67,1
GRANDE,2025-02-23,Comercializador regulado,3,5,-23.89,-27.06,2
GRANDE,2025-02-23,Trader no regulado,1,2,-3.87,-59.89,1
GRANDE,2025-02-24,Comercializador regulado,3,5,-34.29,-36.54,2
GRANDE,2025-02-24,Trader no regulado,1,2,-27.07,-77.96,1
GRANDE,2025-02-25,Comercializador regulado,3,5,-41.38,-43.07,1
GRANDE,2025-02-25,Trader no regulado,1,2,-43.43,-66.57,2
GRANDE,2025-02-26,Comercializador regulado,3,5,-34.71,-37.39,2
GRANDE,2025-02-26,Trader no regulado,1,2,-27.05,-69.55,1
GRANDE,2025-02-27,Comercializador regulado,3,5,-30.78,-32.81,2
GRANDE,2025-02-27,Trader no regulado,1,2,-18.91,-61.55,1
GRANDE,2025-02-28,Comercializador regulado,3,5,-30.34,-32.77,2
GRANDE,2025-02-28,Trader no regulado,1,2,-15.78,-65.53,1
GRANDE,2025-03-01,Comercializador regulado,3,5,-14.52,-19.49,2
GRANDE,2025-03-01,Trader no regulado,1,2,5.31,-52.24,1
GRANDE,2025-03-02,Comercializador regulado,3,5,-13.43,-20.74,2
GRANDE,2025-03-02,Trader no regulado,1,2,8.76,-56.74,1
GRANDE,2025-03-03,Comercializador regulado,3,5,-23.1,-27.12,2
GRANDE,2025-03-03,Trader no regulado,1,2,-7.39,-79.62,1
GRANDE,2025-03-04,Comercializador regulado,3,5,-28.98,-32.23,2
GRANDE,2025-03-04,Trader no regulado,1,2,-20.77,-63.52,1
GRANDE,2025-03-05,Comercializador regulado,3,5,-23.22,-27.37,2
GRANDE,2025-03-05,Trader no regulado,1,2,-8.85,-54.45,1
GRANDE,2025-03-06,Comercializador regulado,3,5,-24.33,-27.95,2
GRANDE,2025-03-06,Trader no regulado,1,2,-11.87,-50.11,1
GRANDE,2025-03-07,Comercializador regulado,3,5,-17.94,-22.63,2
GRANDE,2025-03-07,Trader no regulado,1,2,0.58,-34.53,1
GRANDE,2025-03-08,Comercializador regulado,3,5,-15.24,-21.57,2
GRANDE,2025-03-08,Trader no regulado,1,2,1.95,-44.94,1
GRANDE,2025-03-09,Comercializador regulado,3,5,-19.09,-23.14,2
GRANDE,2025-03-09,Trader no regulado,1,2,-0.56,-56.24,1
GRANDE,2025-03-10,Comercializador regulado,3,5,-26.16,-30.14,2
GRANDE,2025-03-10,Trader no regulado,1,2,-16.05,-63.62,1
GRANDE,2025-03-11,Comercializador regulado,3,5,-33.88,-36.52,1
GRANDE,2025-03-11,Trader no regulado,1,2,-34.04,-64.36,2
GRANDE,2025-03-12,Comercializador regulado,3,5,-32.45,-35.3,2
GRANDE,2025-03-12,Trader no regulado,1,2,-29.19,-64.59,1
GRANDE,2025-03-13,Comercializador regulado,3,5,-26.86,-29.66,2
GRANDE,2025-03-13,Trader no regulado,1,2,-19.16,-61.62,1
GRANDE,2025-03-14,Comercializador regulado,3,5,-25.78,-29.63,2
GRANDE,2025-03-14,Trader no regulado,1,2,-14.2,-51.88,1
GRANDE,2025-03-15,Comercializador regulado,3,5,-25.01,-28.73,2
GRANDE,2025-03-15,Trader no regulado,1,2,-9.49,-48.54,1
GRANDE,2025-03-16,Comercializador regulado,3,5,-25.75,-30.02,2
GRANDE,2025-03-16,Trader no regulado,1,2,-19.03,-61.11,1
GRANDE,2025-03-17,Comercializador regulado,3,5,-29.11,-32.16,2
GRANDE,2025-03-17,Trader no regulado,1,2,-21.13,-57.52,1
GRANDE,2025-03-18,Comercializador regulado,3,5,-26.41,-30.05,2
GRANDE,2025-03-18,Trader no regulado,1,2,-13.55,-57.02,1
GRANDE,2025-03-19,Comercializador regulado,3,5,-29.27,-32.15,2
GRANDE,2025-03-19,Trader no regulado,1,2,-21.21,-59.16,1
GRANDE,2025-03-20,Comercializador regulado,3,5,-30.92,-33.69,2
GRANDE,2025-03-20,Trader no regulado,1,2,-25.22,-53.76,1
